English	Simplified
hi lynn	晓琳，你好
bye lynn	晓琳，再见
eight	八
hello	你好
six	六
cron test from phone	吧八把
automator script test	吧啊吧吧吧吧吧吧的
automation testing	爸爸巴巴爸爸巴巴爸爸巴巴爸爸啊巴巴爸爸吧
automation testing again	呀
launch control test	launch control response
test	test test
test	test test
test	式 式
test	式 式
test	式 式
test	式 式
test	式 式
test	式 式
test	式 式
test	式 式
do you prefer X or Y 	你更喜欢X还是Y
equivalent of saying 'quick question:' 	问一个问题
as long as X (e.g., as long as it works with your schedule)	只要 X 就行
i saw that the paper said X	我看到that paper写着X
once per week	一周一次
after this week, do you know how many classes we'll have each week?	你知道这周之后我们一周要上几次课吗？
energetic email closer akin to 'thank you for your response!'	谢谢您及时的回复！
i need to decide if i’m going to take that course	我需要决定我要不要上那节课
what is the difference between X and Y	X和Y的区别是什么？
once per week	一周一次
once per week	一周一次
once per week	一周一次
i saw that the paper said X	i saw that the paper said X
once per week	一周一次
twice per week	一周两次
every other week	两周一次
ba	八
once a month	每月一次
do you prefer X or Y 	你比较喜欢X还是Y
equivalent of saying 'quick question:' 	问一个问题
as long as X (e.g., as long as it works with your schedule)	只要X
after this week	这周之后
after this week, do you know how many classes we'll have each week?	你知道这周之后我们每周有几节课吗？
energetic email closer akin to 'thank you for your response!'	谢谢您及时的回复！
i need to decide which course to take	我需要决定我要上哪些课
i need to decide if i’m going to take that course	我需要决定我上不上那节课
my internet is not working	我的网坏了
are we allowed to speak english in class (important part: how to say ‘in class’)	我们可以课堂上说英文吗？
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
my internet is not working	我的网坏了
are we allowed to speak english in class (important part: how to say ‘in class’)	我们可以课堂上说英文吗？
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
my internet is not working	我的网坏了
are we allowed to speak english in class (important part: how to say ‘in class’)	我们可以课堂上说英文吗？
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
