translation	vocab	tag
||o'clock||time||when||hour||season||period	时	hsk
||between||among||within a definite time or space||room||section of a room or lateral space between two pairs of pillars||classifier for rooms|||<b>jiàn</b>||gap||to separate||to thin out (seedlings)||to sow discontent	间	hsk
park	公园	test-entry
||dry||clean||in vain||dried food||foster||adoptive||to ignore|||<b>gān</b>||to concern||to interfere||shield||stem|||<b>gàn</b>||tree trunk||main part of sth||to manage||to work||to do||capable||cadre||to kill (slang)||to fuck (vulgar)||(coll.) pissed off||annoyed	干	hsk
||accurate||standard||definitely||certainly||about to become (bride, son-in-law etc)||quasi-||para-|||<b>zhǔn</b>||to allow||to grant||in accordance with||in the light of	准	hsk
||to prepare||get ready||to provide or equip	备	hsk
||currency unit (esp. Chinese yuan)||first||original||primary||fundamental||constituent||part||era (of a reign)||meta- (prefix)||(math.) argument||variable||(Tw) (geology) eon	元	hsk
||to go forward||to advance||to go in||to enter||to put in||to submit||to take in||to admit||(math.) base of a number system||classifier for sections in a building or residential compound	进	hsk
||(completed action marker)||(modal particle indicating change of state, situation now)||(modal particle intensifying preceding clause)|||<b>liǎo</b>||(of eyes) bright||clear-sighted||to understand clearly|||<b>liǎo</b>||to finish||to achieve||variant of 瞭|了[liao3]||to understand clearly	了	hsk
||(located) at||(to be) in||to exist||in the middle of doing sth||(indicating an action in progress)	在	hsk
||is||are||am||yes||to be	是	hsk
||I||me||my	我	hsk
"||one||1||single||a (article)||as soon as||entire||whole||all||throughout||""one"" radical in Chinese characters (Kangxi radical 1)||also pr. [yao1] for greater clarity when spelling out numbers digit by digit"	一	hsk
||to have||there is||there are||to exist||to be	有	hsk
||he or him||(used for either sex when the sex is unknown or unimportant)||(used before sb's name for emphasis)||(used as a meaningless mock object)||other||another	他	hsk
||this||these||(commonly pr. [zhei4] before a classifier, esp. in Beijing)	这	hsk
||individual||this||that||size||classifier for people or objects in general	个	hsk
"||and||together with||with||sum||union||peace||harmony||Taiwan pr. [han4] when it means ""and"" or ""with""|||<b>hè</b>||to compose a poem in reply (to sb's poem) using the same rhyme sequence||to join in the singing||to chime in with others"	和	hsk
||(negative prefix)||not||no	不	hsk
||at once||right away||only||just (emphasis)||as early as||already||as soon as||then||in that case||as many as||even if||to approach||to move towards||to undertake||to engage in||to suffer||subjected to||to accomplish||to take advantage of||to go with (of foods)||with regard to||concerning	就	hsk
||also||too||(in Classical Chinese) final particle implying affirmation	也	hsk
||person||people||CL:個|个[ge4],位[wei4]	人	hsk
||you (informal, as opposed to courteous 您[nin2])	你	hsk
||to speak||to say||to explain||to scold||to tell off||a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)	说	hsk
||plural marker for pronouns, and nouns referring to individuals	们	hsk
||on top||upon||above||upper||previous||first (of multiple parts)||to climb||to get onto||to go up||to attend (class or university)	上	hsk
